Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
03-08-2018,370,376.45,359,376.45,6512,17.45,-6.45
02-08-2018,361.4,361.4,350,358.55,8892,11.4,2.85
01-08-2018,330,344.3,325,344.3,3405,19.3,-14.3
31-07-2018,309,330,309,327.95,4046,21,-18.95
30-07-2018,305,323.85,301,322.45,2849,22.85,-17.45
27-07-2018,300.5,315.2,300.5,312.05,6737,14.7,-11.55
26-07-2018,313.15,313.15,300,304,53036,13.15,9.15
25-07-2018,311,315,300,304.7,2693,15,6.3
24-07-2018,316.9,323,308,313.65,8672,15,3.25
23-07-2018,319,319,304.25,311.35,6782,14.75,7.65
20-07-2018,308,308,296.95,304.25,15304,11.05,3.75
19-07-2018,294,311.8,290.5,308.95,10008,21.3,-14.95
18-07-2018,308,308,305,305,822,3,3
17-07-2018,313,313,305,305.1,303,8,7.9
16-07-2018,310,330,304,305.3,814,26,4.7
13-07-2018,321.5,329.9,316,320,1689,13.9,1.5
12-07-2018,305.5,320.25,305.5,320.25,1974,14.75,-14.75
11-07-2018,303,308,298,305,8035,10,-2
10-07-2018,300,312.9,290.1,302.95,5311,22.8,-2.95
09-07-2018,298,323.95,297.1,298.05,3621,26.85,-0.05
06-07-2018,300,316.5,295.15,312.7,2749,21.35,-12.7
05-07-2018,319.5,325,295.6,310.55,4018,29.4,8.95
04-07-2018,315.05,320,307.8,311.15,1814,12.2,3.9
03-07-2018,330.1,330.1,317.7,324,869,12.4,6.1
02-07-2018,335,338,322,331,591,16,4
29-06-2018,335,341,331.65,337.9,2808,9.35,-2.9
28-06-2018,328,335,315,326.05,1369,20,1.95
27-06-2018,350,350.1,330.5,331.25,5361,19.6,18.75
26-06-2018,357.15,358.85,345,347.85,6035,13.85,9.3
25-06-2018,363.75,363.75,347.15,359.4,2110,16.6,4.35
22-06-2018,351,367.4,335.6,360,2467,31.8,-9
21-06-2018,367.55,370.9,351,352,4838,19.9,15.55
20-06-2018,377.3,383.5,364.45,369.05,7017,19.05,8.25
19-06-2018,380.85,386.15,363.6,365.25,2756,22.55,15.6
18-06-2018,389.1,392,380.25,382.7,1921,11.75,6.4
